X-ray diffraction station at BSRF	Omega_2omega step mode	Wavelength(nm)=0.13807	2016/10/9 21:11:31
2Omega(degree)	Detector	InoChamber1	InoChamber2
10.00000	2100	73950	0
10.04000	2096	73962	0
10.08000	2123	74000	0
10.12000	2045	74028	0
10.16000	1918	74065	0
10.20000	2011	74094	0
10.24000	2089	74116	0
10.28000	2043	74162	0
10.32000	2011	74283	0
10.36000	2053	74275	0
10.40000	2068	74272	0
10.44000	2024	74272	0
10.48000	2090	74271	0
10.52000	2075	74284	0
10.56000	2052	74268	0
10.60000	2036	74279	0
10.64000	2140	74272	0
10.68000	2081	74284	0
10.72000	2087	74292	0
10.76000	2115	74280	0
10.80000	1973	74268	0
10.84000	2070	74281	0
10.88000	2093	74289	0
10.92000	2099	74297	0
10.96000	2159	74276	0
11.00000	2155	74292	0
11.04000	2190	74293	0
11.08000	2197	74277	0
11.12000	2314	74284	0
11.16000	2325	74271	0
11.20000	2469	74263	0
11.24000	2549	74275	0
11.28000	2948	74285	0
11.32000	3459	74276	0
11.36000	4004	74280	0
11.40000	4696	74260	0
11.44000	4342	74273	0
11.48000	3864	74261	0
11.52000	3201	74240	0
11.56000	2719	74234	0
11.60000	2474	74235	0
11.64000	2376	74232	0
11.68000	2244	74218	0
11.72000	2090	74226	0
11.76000	2130	74216	0
11.80000	2084	74216	0
11.84000	2089	74227	0
11.88000	1971	74213	0
11.92000	2043	74219	0
11.96000	2026	74221	0
12.00000	2023	74209	0
12.04000	2004	74210	0
12.08000	1995	74213	0
12.12000	2063	74226	0
12.16000	1899	74226	0
12.20000	2091	74221	0
12.24000	1998	74208	0
12.28000	1974	74205	0
12.32000	1998	74206	0
12.36000	2003	74213	0
12.40000	1920	74205	0
12.44000	1943	74202	0
12.48000	1958	74198	0
12.52000	1917	74200	0
12.56000	1915	74208	0
12.60000	1903	74184	0
12.64000	1931	74176	0
12.68000	1892	74178	0
12.72000	2000	74172	0
12.76000	1983	74173	0
12.80000	1848	74187	0
12.84000	1869	74181	0
12.88000	1923	74175	0
12.92000	1846	74187	0
12.96000	1907	74184	0
13.00000	1872	74173	0
13.04000	1896	74169	0
13.08000	1970	74181	0
13.12000	1903	74176	0
13.16000	1880	74171	0
13.20000	1890	74154	0
13.24000	1921	74165	0
13.28000	1967	74178	0
13.32000	1954	74246	0
13.36000	1933	74314	0
13.40000	1869	74390	0
13.44000	1906	74448	0
13.48000	1945	74523	0
13.52000	1948	74517	0
13.56000	1889	74512	0
13.60000	1903	74503	0
13.64000	1922	74498	0
13.68000	1928	74496	0
13.72000	1913	74489	0
13.76000	1918	74500	0
13.80000	1817	74472	0
13.84000	1838	74472	0
13.88000	1924	74460	0
13.92000	1965	74453	0
13.96000	1879	74451	0
14.00000	1905	74456	0
14.04000	1844	74439	0
14.08000	1905	74461	0
14.12000	1908	74464	0
14.16000	1907	74420	0
14.20000	1896	74416	0
14.24000	1895	74417	0
14.28000	1831	74403	0
14.32000	1870	74405	0
14.36000	1890	74394	0
14.40000	1859	74368	0
14.44000	1818	74353	0
14.48000	1827	74372	0
14.52000	1713	74370	0
14.56000	1824	74373	0
14.60000	1789	74376	0
14.64000	1770	74359	0
14.68000	1854	74349	0
14.72000	1782	74342	0
14.76000	1815	74352	0
14.80000	1769	74347	0
14.84000	1818	74340	0
14.88000	1733	74341	0
14.92000	1721	74328	0
14.96000	1731	74333	0
15.00000	1790	74319	0
15.04000	1829	74325	0
15.08000	1747	74328	0
15.12000	1647	74318	0
15.16000	1719	74310	0
15.20000	1685	74326	0
15.24000	1742	74309	0
15.28000	1674	74300	0
15.32000	1757	74299	0
15.36000	1758	74292	0
15.40000	1673	74280	0
15.44000	1772	74277	0
15.48000	1732	74275	0
15.52000	1753	74258	0
15.56000	1727	74245	0
15.60000	1848	74249	0
15.64000	1799	74214	0
15.68000	1721	74213	0
15.72000	1821	74232	0
15.76000	1860	74215	0
15.80000	1894	74208	0
15.84000	1974	74209	0
15.88000	2008	74192	0
15.92000	2084	74182	0
15.96000	2257	74171	0
16.00000	2457	74183	0
16.04000	2722	74195	0
16.08000	2899	74203	0
16.12000	3127	74201	0
16.16000	3163	74197	0
16.20000	3195	74184	0
16.24000	2931	74187	0
16.28000	2725	74169	0
16.32000	2396	74174	0
16.36000	2170	74175	0
16.40000	2129	74174	0
16.44000	1981	74168	0
16.48000	1875	74157	0
16.52000	1859	74152	0
16.56000	1832	74153	0
16.60000	1636	74143	0
16.64000	1683	74137	0
16.68000	1675	74144	0
16.72000	1762	74129	0
16.76000	1630	74121	0
16.80000	1686	74152	0
16.84000	1668	74199	0
16.88000	1650	74229	0
16.92000	1617	74290	0
16.96000	1604	74366	0
17.00000	1558	74488	0
17.04000	1608	74521	0
17.08000	1602	74520	0
17.12000	1579	74513	0
17.16000	1615	74512	0
17.20000	1554	74500	0
17.24000	1568	74502	0
17.28000	1589	74495	0
17.32000	1615	74485	0
17.36000	1583	74493	0
17.40000	1535	74503	0
17.44000	1569	74493	0
17.48000	1520	74486	0
17.52000	1572	74482	0
17.56000	1546	74480	0
17.60000	1544	74488	0
17.64000	1551	74476	0
17.68000	1553	74465	0
17.72000	1509	74461	0
17.76000	1556	74453	0
17.80000	1579	74479	0
17.84000	1566	74471	0
17.88000	1526	74458	0
17.92000	1551	74456	0
17.96000	1586	74444	0
18.00000	1506	74453	0
18.04000	1532	74447	0
18.08000	1515	74435	0
18.12000	1572	74428	0
18.16000	1528	74412	0
18.20000	1493	74423	0
18.24000	1498	74405	0
18.28000	1566	74404	0
18.32000	1515	74403	0
18.36000	1511	74404	0
18.40000	1502	74398	0
18.44000	1475	74387	0
